timestamp,n,algorithm,avg_time_sec
2026-05-02 00:12:32,50,Bubble,0.0009534788
2026-05-02 00:12:32,50,Selection,0.0005597716
2026-05-02 00:12:32,50,Quick,0.0006441220
2026-05-02 00:12:32,50,Insertion,0.0006085293
2026-05-02 00:12:32,50,Merge,0.0005774375
2026-05-02 00:12:56,100000,Bubble,SKIPPED
2026-05-02 00:12:56,100000,Selection,SKIPPED
2026-05-02 00:12:56,100000,Quick,1.9039923000
2026-05-02 00:12:56,100000,Insertion,SKIPPED
2026-05-02 00:12:56,100000,Merge,2.1093388000
2026-05-02 00:15:27,100,Bubble,0.0028496529
2026-05-02 00:15:27,100,Selection,0.0020313292
2026-05-02 00:15:27,100,Quick,0.0013686152
2026-05-02 00:15:27,100,Insertion,0.0018291222
2026-05-02 00:15:27,100,Merge,0.0011425524
2026-05-02 00:16:15,100000,Bubble,SKIPPED
2026-05-02 00:16:15,100000,Selection,SKIPPED
2026-05-02 00:16:15,100000,Quick,1.8214152000
2026-05-02 00:16:15,100000,Insertion,SKIPPED
2026-05-02 00:16:15,100000,Merge,2.0776366000
